%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1728111972996161603,23042,1728111972995806351,/map,0.018876689299094276,-0.0030481566546095547,0.003592412779618476,0.9998107190426273,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.001762782544514273,0.00015707963267948965,0.001710422666954443,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.36284605,0.0588399,9.855683249999998,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973006319870,23043,1728111973005782998,/map,0.01890294794662656,-0.003056457679874657,0.0036101073245551705,0.9998101338506644,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.002530727415391778,-0.001413716694115407,-0.00019198621771937625,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.4216859499999999,0.0588399,9.77723005,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973016033510,23044,1728111973015638638,/map,0.01889442196662107,-0.0030820046283524883,0.0036454746773520452,0.9998100882569624,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.0009773843811168245,0.0010297442586766543,0.014311699866353502,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.392266,0.0196133,9.747810099999999,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973025991309,23045,1728111973025535734,/map,0.018868416724066278,-0.003098891429024586,0.003680622876478452,0.999810398394355,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.004747295565424576,0.002670353755551324,0.01595230936322817,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.32361945,-0.14709974999999997,9.757616749999999,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973035849814,23046,1728111973035471049,/map,0.018859799893022475,-0.003098265219079352,0.0037154958036012065,0.9998104339281325,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.004345869837465881,-0.00312413936106985,0.008464846872172497,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.4216859499999999,-0.10787314999999999,9.79684335,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973045734677,23047,1728111973045296535,/map,0.018851070478513504,-0.0030894081389265804,0.003724029454837952,0.9998105942146166,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.004223696789826277,-5.235987755982989e-05,0.00022689280275926284,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.30400615,-0.1372931,9.79684335,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973055589244,23048,1728111973055196072,/map,0.018824832568457253,-0.003072055629284616,0.003723620420164031,0.9998111435685975,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.003543018381548489,-0.0004188790204786391,0.0043982297150257105,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.36284605,-0.17651969999999997,9.7870367,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973065670078,23049,1728111973065290231,/map,0.018824711591489213,-0.0030460448990770783,0.0037144031896658887,0.9998112597150097,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.0009773843811168245,0.010978120995044333,-0.007347836150896127,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.32361945,-0.1176798,9.79684335,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973075463106,23050,1728111973075142753,/map,0.018807235007204208,-0.00304627385138157,0.0037056250233900743,0.9998116204916767,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.004118977034706617,0.004328416544945937,-0.001762782544514273,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.392266,-0.1569064,9.80665,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111973085441702,23051,1728111973085061097,/map,0.018815902184639324,-0.003037680708673195,0.0036967626036530548,0.999811516370532,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.00466002910282486,0.0004363323129985824,0.003525565089028546,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.37265269999999995,-0.0784532,9.80665,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
